timestamp_utc,timestamp_local,lot_id,address,lot_type,capacity,free_spaces,free_accessible,occupancy_pct,downtown,error
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,6,110 Laurier Ave.,Enclosed,850,230,4,72.9,True,
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,8,170 Second Ave.,Enclosed,146,84,6,42.5,False,
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,9,234-250 Slater St.,Surface,65,,N/A,,True,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,10,574 Bank St.,Surface,19,,N/A,,True,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,11,687 Somerset St. W,Surface,46,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,20,400 North River Rd.,Surface,79,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,22,283 Cyr Ave.,Surface,25,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,14,301 Preston St.,Surface,62,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-27T20:00:19Z,2026-07-27T16:00:19-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
